framework,pattern,calls,fwtot,label
langchain_groq,.stream_events,0,0,langchain_groq  .stream_events
langchain_groq,.transform,0,0,langchain_groq  .transform
langchain_huggingface,.abatch,0,0,langchain_huggingface  .abatch
langchain_huggingface,.acall,0,0,langchain_huggingface  .acall
langchain_huggingface,.agenerate,0,0,langchain_huggingface  .agenerate
langchain_huggingface,.ainvoke,0,0,langchain_huggingface  .ainvoke
langchain_huggingface,.apredict,0,0,langchain_huggingface  .apredict
langchain_huggingface,.apredict_messages,0,0,langchain_huggingface  .apredict_messages
langchain_huggingface,.arun,0,0,langchain_huggingface  .arun
langchain_huggingface,.astream,0,0,langchain_huggingface  .astream
langchain_huggingface,.astream_events,0,0,langchain_huggingface  .astream_events
langchain_huggingface,.atransform,0,0,langchain_huggingface  .atransform
langchain_huggingface,.batch,0,0,langchain_huggingface  .batch
langchain_huggingface,.call,0,0,langchain_huggingface  .call
langchain_huggingface,.generate,0,0,langchain_huggingface  .generate
langchain_huggingface,.invoke,0,0,langchain_huggingface  .invoke
langchain_huggingface,.predict,0,0,langchain_huggingface  .predict
langchain_huggingface,.predict_messages,0,0,langchain_huggingface  .predict_messages
langchain_huggingface,.run,0,0,langchain_huggingface  .run
langchain_huggingface,.stream,0,0,langchain_huggingface  .stream
langchain_huggingface,.stream_events,0,0,langchain_huggingface  .stream_events
langchain_huggingface,.transform,0,0,langchain_huggingface  .transform
langchain_mistralai,.abatch,0,0,langchain_mistralai  .abatch
langchain_mistralai,.acall,0,0,langchain_mistralai  .acall
langchain_mistralai,.agenerate,0,0,langchain_mistralai  .agenerate
langchain_mistralai,.ainvoke,0,0,langchain_mistralai  .ainvoke
langchain_mistralai,.apredict,0,0,langchain_mistralai  .apredict
langchain_mistralai,.apredict_messages,0,0,langchain_mistralai  .apredict_messages
langchain_mistralai,.arun,0,0,langchain_mistralai  .arun
langchain_mistralai,.astream,0,0,langchain_mistralai  .astream
langchain_mistralai,.astream_events,0,0,langchain_mistralai  .astream_events
langchain_mistralai,.atransform,0,0,langchain_mistralai  .atransform
langchain_mistralai,.batch,0,0,langchain_mistralai  .batch
langchain_mistralai,.call,0,0,langchain_mistralai  .call
langchain_mistralai,.generate,0,0,langchain_mistralai  .generate
langchain_mistralai,.invoke,0,0,langchain_mistralai  .invoke
langchain_mistralai,.predict,0,0,langchain_mistralai  .predict
langchain_mistralai,.predict_messages,0,0,langchain_mistralai  .predict_messages
langchain_mistralai,.run,0,0,langchain_mistralai  .run
langchain_mistralai,.stream,0,0,langchain_mistralai  .stream
langchain_mistralai,.stream_events,0,0,langchain_mistralai  .stream_events
langchain_mistralai,.transform,0,0,langchain_mistralai  .transform
langchain_nvidia_ai_endpoints,.abatch,0,0,langchain_nvidia_ai_endpoints  .abatch
langchain_nvidia_ai_endpoints,.acall,0,0,langchain_nvidia_ai_endpoints  .acall
langchain_nvidia_ai_endpoints,.agenerate,0,0,langchain_nvidia_ai_endpoints  .agenerate
langchain_nvidia_ai_endpoints,.ainvoke,0,0,langchain_nvidia_ai_endpoints  .ainvoke
langchain_nvidia_ai_endpoints,.apredict,0,0,langchain_nvidia_ai_endpoints  .apredict
langchain_nvidia_ai_endpoints,.apredict_messages,0,0,langchain_nvidia_ai_endpoints  .apredict_messages
langchain_nvidia_ai_endpoints,.arun,0,0,langchain_nvidia_ai_endpoints  .arun
langchain_nvidia_ai_endpoints,.astream,0,0,langchain_nvidia_ai_endpoints  .astream
langchain_nvidia_ai_endpoints,.astream_events,0,0,langchain_nvidia_ai_endpoints  .astream_events
langchain_nvidia_ai_endpoints,.atransform,0,0,langchain_nvidia_ai_endpoints  .atransform
langchain_nvidia_ai_endpoints,.batch,0,0,langchain_nvidia_ai_endpoints  .batch
langchain_nvidia_ai_endpoints,.call,0,0,langchain_nvidia_ai_endpoints  .call
langchain_nvidia_ai_endpoints,.generate,0,0,langchain_nvidia_ai_endpoints  .generate
langchain_nvidia_ai_endpoints,.invoke,0,0,langchain_nvidia_ai_endpoints  .invoke
langchain_nvidia_ai_endpoints,.predict,0,0,langchain_nvidia_ai_endpoints  .predict
langchain_nvidia_ai_endpoints,.predict_messages,0,0,langchain_nvidia_ai_endpoints  .predict_messages
langchain_nvidia_ai_endpoints,.run,0,0,langchain_nvidia_ai_endpoints  .run
langchain_nvidia_ai_endpoints,.stream,0,0,langchain_nvidia_ai_endpoints  .stream
langchain_nvidia_ai_endpoints,.stream_events,0,0,langchain_nvidia_ai_endpoints  .stream_events
langchain_nvidia_ai_endpoints,.transform,0,0,langchain_nvidia_ai_endpoints  .transform
langchain_ollama,.abatch,0,0,langchain_ollama  .abatch
langchain_ollama,.acall,0,0,langchain_ollama  .acall
langchain_ollama,.agenerate,0,0,langchain_ollama  .agenerate
langchain_ollama,.ainvoke,0,0,langchain_ollama  .ainvoke
langchain_ollama,.apredict,0,0,langchain_ollama  .apredict
langchain_ollama,.apredict_messages,0,0,langchain_ollama  .apredict_messages
langchain_ollama,.arun,0,0,langchain_ollama  .arun
langchain_ollama,.astream,0,0,langchain_ollama  .astream
langchain_ollama,.astream_events,0,0,langchain_ollama  .astream_events
langchain_ollama,.atransform,0,0,langchain_ollama  .atransform
langchain_ollama,.batch,0,0,langchain_ollama  .batch
langchain_ollama,.call,0,0,langchain_ollama  .call
langchain_ollama,.generate,0,0,langchain_ollama  .generate
langchain_ollama,.invoke,0,0,langchain_ollama  .invoke
langchain_ollama,.predict,0,0,langchain_ollama  .predict
langchain_ollama,.predict_messages,0,0,langchain_ollama  .predict_messages
langchain_ollama,.run,0,0,langchain_ollama  .run
langchain_ollama,.stream,0,0,langchain_ollama  .stream
langchain_ollama,.stream_events,0,0,langchain_ollama  .stream_events
langchain_ollama,.transform,0,0,langchain_ollama  .transform
langchain_openrouter,.abatch,0,0,langchain_openrouter  .abatch
langchain_openrouter,.acall,0,0,langchain_openrouter  .acall
langchain_openrouter,.agenerate,0,0,langchain_openrouter  .agenerate
langchain_openrouter,.ainvoke,0,0,langchain_openrouter  .ainvoke
langchain_openrouter,.apredict,0,0,langchain_openrouter  .apredict
langchain_openrouter,.apredict_messages,0,0,langchain_openrouter  .apredict_messages
langchain_openrouter,.arun,0,0,langchain_openrouter  .arun
langchain_openrouter,.astream,0,0,langchain_openrouter  .astream
langchain_openrouter,.astream_events,0,0,langchain_openrouter  .astream_events
langchain_openrouter,.atransform,0,0,langchain_openrouter  .atransform
langchain_openrouter,.batch,0,0,langchain_openrouter  .batch
langchain_openrouter,.call,0,0,langchain_openrouter  .call
langchain_openrouter,.generate,0,0,langchain_openrouter  .generate
langchain_openrouter,.invoke,0,0,langchain_openrouter  .invoke
langchain_openrouter,.predict,0,0,langchain_openrouter  .predict
langchain_openrouter,.predict_messages,0,0,langchain_openrouter  .predict_messages
langchain_openrouter,.run,0,0,langchain_openrouter  .run
langchain_openrouter,.stream,0,0,langchain_openrouter  .stream
langchain_openrouter,.stream_events,0,0,langchain_openrouter  .stream_events
