framework,pattern,calls,distinct_receiver_roots,stdlib_root_hits,nonterminal_hits,confident_fp,pct_confident_fp,suspicion_score,top_receiver_roots
haystack,.run_async,10,6,0,0,0,0.0,3.0,agent:2; self:2; retriever:2; pipeline:2; rag_pipeline:1
openai,chat.completions.parse,38,5,0,0,0,0.0,2.5,self:16; client:14; wrapped_client:4; llm_client:3; openai_client:1
langchain_anthropic,.invoke,20,5,0,0,0,0.0,2.5,model_with_tools:16; super:1; agent:1; synopsis_chain:1; chat:1
langgraph,.astream_events,12,5,0,0,0,0.0,2.5,agent:8; _agent:1; agent2:1; graph:1; research_graph:1
langchain_community,.ainvoke,11,5,0,0,0,0.0,2.5,runnable:6; chain:2; structured_model:1; tool_model:1; self:1
semantic_kernel,.invoke,10,5,0,0,0,0.0,2.5,self:4; kernel:3; agent:1; guarded:1; chat:1
langchain_anthropic,.run,5,3,1,0,1,20.0,2.5,self:3; agent:1; asyncio:1
anthropic,completions.create,12,4,0,0,0,0.0,2.0,client:5; anthropic_client:3; self:3; clients:1
langchain_aws,.ainvoke,9,4,0,0,0,0.0,2.0,registered_bedrock_client:5; client:2; synopsis_chain:1; cloud_registered_bedrock_client:1
langchain_aws,.astream,8,4,0,0,0,0.0,2.0,registered_bedrock_client:4; chain:2; synopsis_chain:1; cloud_registered_bedrock_client:1
openai,responses.parse,7,4,0,0,0,0.0,2.0,wrapped_client:3; self:2; openai_client:1; async_openai_client:1
langchain_google_vertexai,.ainvoke,4,4,0,0,0,0.0,2.0,llm_chain:1; rqa:1; sequence:1; runnable:1
autogen_agentchat,.run_stream,29,3,0,0,0,0.0,1.5,agent:17; team:11; assistant_agent:1
langchain_mistralai,.invoke,8,3,0,0,0,0.0,1.5,llm:6; executor:1; client:1
langchain_cohere,.invoke,7,3,0,0,0,0.0,1.5,overall_chain:3; chain:3; chat:1
langchain,.batch,7,3,0,0,0,0.0,1.5,model:4; loaded_model:2; runnable:1
langgraph,.batch,5,3,0,0,0,0.0,1.5,store:2; self:2; super:1
langchain_aws,.stream,5,3,0,0,0,0.0,1.5,registered_bedrock_client:3; synopsis_chain:1; cloud_registered_bedrock_client:1
langgraph,.abatch,4,3,0,0,0,0.0,1.5,self:2; store:1; super:1
langchain,.arun,4,3,0,0,0,0.0,1.5,langchain_tool:2; task_tool:1; langchain_tool2:1
langchain_groq,.invoke,3,3,0,0,0,0.0,1.5,synopsis_chain:1; retriever:1; chain:1
langchain_google_vertexai,.run,1,1,1,0,1,100.0,1.5,asyncio:1
langchain_aws,.batch,1,1,0,1,1,100.0,1.5,collection:1
autogen_core,.publish_message,9,2,0,0,0,0.0,1.0,self:8; runtime:1
langchain,.acall,9,2,0,0,0,0.0,1.0,tool:7; function_tool:2
semantic_kernel,.invoke_prompt,5,2,0,0,0,0.0,1.0,kernel:4; self:1
langchain_openai,.astream,5,2,0,0,0,0.0,1.0,chain:3; client:2
agent_framework,.run_stream,5,2,0,0,0,0.0,1.0,workflow:3; agent:2
langchain_community,.stream,4,2,0,0,0,0.0,1.0,runnable:3; run_client:1
langchain_core,.agenerate,4,2,0,0,0,0.0,1.0,self:2; llm:2
langchain,.abatch,4,2,0,0,0,0.0,1.0,model:3; loaded_model:1
langchain,.astream,4,2,0,0,0,0.0,1.0,model:3; loaded_model:1
langchain_google_genai,.astream,4,2,0,0,0,0.0,1.0,chain:2; client:2
langchain_core,.astream_events,3,2,0,0,0,0.0,1.0,self:2; runnable:1
langchain_experimental,.run,3,2,0,0,0,0.0,1.0,python_repl:2; tool:1
langchain_openai,.stream,3,2,0,0,0,0.0,1.0,chain:2; self:1
swarm,.run,3,2,0,0,0,0.0,1.0,app:2; client:1
autogen_ext,.create_stream,3,2,0,0,0,0.0,1.0,cache_client:2; openai_model_client:1
langchain_core,.acall,3,2,0,0,0,0.0,1.0,self:2; llm:1
graphrag,basic_search,3,2,0,0,0,0.0,1.0,basic_search:2; api:1
graphrag,local_search,3,2,0,0,0,0.0,1.0,local_search:2; api:1
langchain_mistralai,.stream,2,2,0,0,0,0.0,1.0,executor:1; client:1
langchain_google_vertexai,.stream,2,2,0,0,0,0.0,1.0,llm_chain:1; llm:1
graphrag,drift_search,2,2,0,0,0,0.0,1.0,drift_search:1; api:1
graphrag,global_search,2,2,0,0,0,0.0,1.0,global_search:1; api:1
agents,Runner.run,220,1,0,0,0,0.0,0.5,Runner:220
agents,Runner.run_sync,29,1,0,0,0,0.0,0.5,Runner:29
agents,Runner.run_streamed,16,1,0,0,0,0.0,0.5,Runner:16
crewai,.kickoff_for_each,8,1,0,0,0,0.0,0.5,crew:8
langchain,.generate,5,1,0,0,0,0.0,0.5,self:5
crewai,.kickoff_for_each_async,4,1,0,0,0,0.0,0.5,crew:4
langchain_google_vertexai,.predict,4,1,0,0,0,0.0,0.5,llm:4
langchain_cohere,.ainvoke,3,1,0,0,0,0.0,0.5,overall_chain:3
langchain_cohere,.astream,3,1,0,0,0,0.0,0.5,runnable:3
langchain_cohere,.stream,3,1,0,0,0,0.0,0.5,runnable:3
autogen_core,.send_message,3,1,0,0,0,0.0,0.5,runtime:3
langgraph,.stream_events,2,1,0,0,0,0.0,0.5,agent:2
langchain_core,.transform,2,1,0,0,0,0.0,0.5,parser:2
semantic_kernel,.get_response,2,1,0,0,0,0.0,0.5,agent:2
langchain_google_vertexai,.batch,2,1,0,0,0,0.0,0.5,llm_chain:2
langchain_nvidia_ai_endpoints,.ainvoke,2,1,0,0,0,0.0,0.5,nvidia_client:2
langchain_nvidia_ai_endpoints,.astream,2,1,0,0,0,0.0,0.5,nvidia_client:2
langchain_nvidia_ai_endpoints,.invoke,2,1,0,0,0,0.0,0.5,nvidia_client:2
langchain_nvidia_ai_endpoints,.stream,2,1,0,0,0,0.0,0.5,nvidia_client:2
langchain_community,.arun,2,1,0,0,0,0.0,0.5,retriever_tool:2
autogen_core,.create_stream,2,1,0,0,0,0.0,0.5,client:2
camel,.astep,2,1,0,0,0,0.0,0.5,self:2
langchain_community,.call,1,1,0,0,0,0.0,0.5,client:1
langchain_anthropic,.astream_events,1,1,0,0,0,0.0,0.5,runnable:1
langchain_experimental,.invoke,1,1,0,0,0,0.0,0.5,agent_csv:1
autogen,.generate_reply,1,1,0,0,0,0.0,0.5,agent:1
langchain_deepseek,.stream,1,1,0,0,0,0.0,0.5,self:1
langchain_deepseek,.invoke,1,1,0,0,0,0.0,0.5,self:1
langchain,.astream_events,1,1,0,0,0,0.0,0.5,agent:1
langchain_anthropic,.ainvoke,1,1,0,0,0,0.0,0.5,_agent:1
anthropic,messages.batches.create,1,1,0,0,0,0.0,0.5,self:1
langchain_community,.apredict,1,1,0,0,0,0.0,0.5,self:1
langchain_community,.predict,1,1,0,0,0,0.0,0.5,self:1
openai,responses.stream,1,1,0,0,0,0.0,0.5,client:1
langchain_openai,.abatch,1,1,0,0,0,0.0,0.5,llm:1
langchain_openai,.batch,1,1,0,0,0,0.0,0.5,llm:1
langchain_core,.atransform,1,1,0,0,0,0.0,0.5,parser:1
semantic_kernel,.get_chat_message_content,1,1,0,0,0,0.0,0.5,chat_service:1
langchain_aws,.acall,1,1,0,0,0,0.0,0.5,_create_graph_engine:1
langchain_anthropic,.stream,1,1,0,0,0,0.0,0.5,synopsis_chain:1
langchain_openai,.predict,1,1,0,0,0,0.0,0.5,self:1
langchain_google_genai,.stream,1,1,0,0,0,0.0,0.5,llm:1
langchain_google_vertexai,.abatch,1,1,0,0,0,0.0,0.5,llm_chain:1
langchain_google_vertexai,.astream,1,1,0,0,0,0.0,0.5,llm_chain:1
autogen_agentchat,.on_messages_stream,1,1,0,0,0,0.0,0.5,self:1
langchain_nvidia_ai_endpoints,.generate,1,1,0,0,0,0.0,0.5,rag:1
semantic_kernel,.get_chat_message_contents,1,1,0,0,0,0.0,0.5,client:1
autogen,.a_generate_reply,1,1,0,0,0,0.0,0.5,agent:1
langchain_core,.call,1,1,0,0,0,0.0,0.5,self:1
langchain_together,.invoke,1,1,0,0,0,0.0,0.5,chat:1
