importer_slug,name,files
Jize-W_RouteMoA,lmdeploy,4
Jize-W_RouteMoA,vllm,3
LangConfig_langconfig,motor,1
LangConfig_langconfig,langgraph_swarm,1
MINDS-THU_HAMLET,vllm,3
MINDS-THU_HAMLET,mcpadapt,1
JetAstra_SDAR,opencompass,2000
JetAstra_SDAR,lmdeploy,5
JetAstra_SDAR,vllm,6
MantisAI_sieves,sieves,113
MantisAI_sieves,marimo,3
Linaro_lava,sentry_sdk,4
MGdaasLab_WHartTest,sentry_sdk,1
MatsMoll_aligned,aligned,120
MemoriLabs_Memori,memori,231
MervinPraison_PraisonAI-Tools,praisonai_tools,226
MervinPraison_PraisonAI-Tools,langtrace_python_sdk,1
MervinPraison_PraisonAI-Tools,weave,1
MervinPraison_PraisonAI-Tools,motor,1
MervinPraison_PraisonAI-Tools,scrapegraphai,1
MigoXLab_dingo,lmdeploy,1
ML-GSAI_LLaDA,opencompass,716
ML-GSAI_LLaDA,lmdeploy,4
ML-GSAI_LLaDA,vllm,2
MotleyAI_motleycrew,motleycrew,86
Multi-Agent-LLMs_mallm,mallm,71
NVIDIA-AI-Blueprints_aiq,aiq_agent,154
NVIDIA-AI-Blueprints_aiq,langchain_tavily,1
NVIDIA-AI-Blueprints_aiq,nemoguardrails,2
LearningCircuit_local-deep-research,local_deep_research,1438
NVIDIA-NeMo_Guardrails,nemoguardrails,686
MODSetter_SurfSense,langchain_litellm,3
MODSetter_SurfSense,posthog,2
NVIDIA_SkillSpector,skillspector,132
NadirRouter_NadirClaw,nadirclaw,71
MoonLadderStudios_MoonMind,moonmind,847
Nantero1_ai-first-devops-toolkit,llm_ci_runner,15
Netflix-Skunkworks_service-capacity-modeling,service_capacity_modeling,84
MingXiangL_Teacache-xDiT,diffusers,708
Noveum_noveum-trace,noveum_trace,222
OWASP_DockSec,docksec,22
NVIDIA_NeMo-Agent-Toolkit,weave,6
NVIDIA_NeMo-Agent-Toolkit,langchain_litellm,1
NVIDIA_NeMo-Agent-Toolkit,nemoguardrails,3
NorthlandPositronics_Cogtrix,cogtrix,20
OPPO-PersonalAI_Agent-KB,mcpadapt,1
OpenDCAI_Dataflow-LoopAI,loopai,121
OpenGradient_tee-gateway,tee_gateway,39
